date_received,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
04/14/2015,Managing the loan or lease,,"Toyota Financial Services does not allow a person to pay additional money towards the principal and applies the money to future payments. A representative stated that a person has to send a separate check to a different address to pay off the principal. This procedure is not mentioned in loan documents or the monthly statement. I find this business practice to be deceiving, unreasonable, and a disservice to the customer. 
",,Toyota Motor Credit Corporation,CA,900XX,,Consent provided,Web,04/14/2015,Closed with explanation,Yes,No,1330222
04/07/2015,Settlement process and costs,,"Have tried to retrieve a final insurance inspection report from HSBC insurance area and they refuse to give me a copy or forward a copy to the insurer. To prove to the insurance company that the first claim was completed 100 % - I ca n't get the new claim processed. It seems like it relates to my property and I should have access to this document. Please help - 
",,HSBC North America Holdings Inc.,FL,344XX,Older American,Consent provided,Web,04/09/2015,Closed with explanation,Yes,No,1319373
04/14/2015,Can't repay my loan,Can't get flexible payment options,"I was a first time XXXX student. I was offered a private student loan with "" similar terms '' to a federal student loan. What was not clearly explained is this loan included compounding interest, not simple interest. And, that there were major restrictions on deferment and forbearance options. Therefore, when I was in school finishing my degree. And, later earning my XXXX, this loan would not defer and had no forbearance options. For a new XXXX student, the loan documents and language were too complex. The ramifications were devastating : An $ 30k loan that doubled to almost $ 60k, then went into default while I was still in school XXXX. 
",,ACS Education Services,GA,302XX,,Consent provided,Web,04/14/2015,Closed with explanation,Yes,Yes,1330402
05/04/2015,Dealing with my lender or servicer,Trouble with how payments are handled,"I XXXX of 2015, I called Sallie Mae to get an issue with a form squared away. My employer, the XXXX XXXX, offers a loan repayment program and Sallie Mae had not filled out a form that I sent them in XX/XX/XXXX. It had been 5 months. Because that issue was addressed, I paid form XXXX of my loans to be deferred until my form went through. The Sallie Mae employer told me the date that repayment would begin, XXXX XXXX, and played by the consent recording, where the date was played again, XXXX XXXX. I agreed and paid the {$50.00}. 
On XXXX XXXX, while trying to refinance my loans, I was told that my loan was in delinquency status because a payment was due in XXXX. I pushed the Sallie Mae employee on why this was changed without notifying me and that I and my XX/XX/XXXX account manager set up a XXXX XXXX deferment pay date. She flippantly apologized for the mix-up, but stated that she could n't do anything to fix it. She said that she would notify her superiors. That employee 's name is XXXX XXXX. 
On XXXX XXXX, I called Sallie Mae again, and the employee I spoke to actually reviewed my account and noticed that there was a mistake, and said that it would be fixed. It has not been fixed. And my loan refinance provider requires a statement from Sallie Mae where my loan is not in delinquency status. And if Sallie Mae had not made their error, I would not be in delinquency status because I would be in deferment. But because they made their error and refused to fix it, I now have to pay for XXXX payments to get out of delinquency just to refinance my loan ( rather than pay for none ). And my fear is that Sallie Mae will continue to drag this process out until it is past my agreed upon ( XXXX XXXX ) deferment date, and then say, "" Well, it 's moot now, '' and force me to pay before I can refinance my loans. 
This is the quintessential definition of fraud, a deliberate deception and unwillingness to rectify an error in a timely manner until it is too late. I was played the recording which stated XXXX XXXX. I was told XXXX XXXX. I agreed to XXXX XXXX. And then suddenly, without notice or warning, my deferment date was changed to XX/XX/XXXX. Which is why I am trying to refinance my Sallie Mae loans to leave their awful service. But I am being forced to pay the {$850.00} as ransom because THEY made an error and refuse to fix it within the agreed upon deferment period. 
",Company believes it acted appropriately as authorized by contract or law,Sallie Mae,DC,200XX,,Consent provided,Web,05/04/2015,Closed with explanation,Yes,No,1359598
03/25/2015,Can't contact lender,Can't contact lender,"Call cell phone several times with threats I will be arrested if I do n't call this number to speak with attorney general to stop the process. We have your social security number and they also send these threats on my XXXX XXXX School XXXX e-mail. I have legal insurance and spoke to a lawyer who gave me the web site to make a complaint because this fraud. 
",,"MNE Services, Inc",FL,332XX,"Older American, Servicemember",Consent provided,Web,03/25/2015,Closed with explanation,Yes,No,1300978
04/28/2015,Other fee,,"XXXX ring credit card offered as 0 % transaction fees .... False. Charges 1 % but only states after you apply. .... Fraud. 
",Company chooses not to provide a public response,Barclays PLC,NH,030XX,,Consent provided,Web,04/28/2015,Closed with explanation,Yes,No,1349949
04/22/2015,Communication tactics,Threatened to take legal action,"This XXXX XXXX lady calls EVERYDAY from a new # claiming that I have a fraud case against me and that there are criminal charges pending ... These people are a complete joke ... When you google the number of any legit business an actual website comes up. Meanwhile when you google these numbers all these comments come up ... 

These people are absolutely ridiculous. When you can send me something in writing maybe just maybe I will call you back. I know my rights and threatening people for a supposed debt is absolutely and completely illegal. But NICE TRY THOUGH ... Guess ill be blocking this number too! 

Below are the list of other # 's she calls XXXX 
",Company disputes the facts presented in the complaint,Oracle Financial Group LLC.,GA,300XX,,Consent provided,Web,04/24/2015,Closed with non-monetary relief,Yes,No,1341355
04/22/2015,Problems when you are unable to pay,,"Back in XX/XX/XXXX we had to claim chapter XXXX bankruptcy. I had a loan on my car with Wells Fargo I made my payments, then paid the car off in XX/XX/XXXX. When I looked at my credit report I noticed I did n't get any kind of credit for doing this. Wells Fargo stated it was discharged in Bankruptcy. I called them and they said it was there right to not show I made my payments and that I had paid this account in full because we filed chapter XXXX and did n't reaffirm the loan so this is why we do n't get any credit for the payoff or my monthly payments made. I do n't understand how they can do this and how can I rebuild my credit when things like this happen. 
",,Wells Fargo & Company,IA,500XX,,Consent provided,Web,04/22/2015,Closed with explanation,Yes,No,1341684
04/15/2015,Dealing with my lender or servicer,Trouble with how payments are handled,"I graduated from XXXX XXXX XXXX XXXX in XXXX, MA. My issue with Navient continues. Today I discovered that Navient XXXX charged me on my monthly payment leaving me -900.00 in my bank account and costing me {$50.00} in overdraft and cancelation fees. When I called to inquire about this I spoke with a very rude representative who offered nothing but blame and accused me of erroneously paying XXXX. 

What in fact happened was the automatic payment plan I am in was charging my account on the scheduled date every month. When XXXX XXXX 2015 came, no payment was taken out. When I noticed no payment had been applied to my account I went online to make a payment manually on XXXX XXXX. I did this and thought everything was taken care of. I checked back in a few days to discover that still, no payment had been applied to my account. I called Navient to get to the solve the issue and I was told that the account information I used when I paid manually was from an old account, which explains why my manual payment did n't go through. I was assured I could pay over the phone with the correct account information and it would be instantaneously applied to my account. I gave her my debit card information and the woman I was speaking with charged my account right away. However what the woman at Navient failed to mention to me was that they were still going to charge me using the automatic, reoccurring payment system. Today I woke up to find my bank account severely overdrawn. 

I called Navient and they refused to do anything for me other than recommend that I call my bank and put a stop payment. This cost me 30.00 on top of the 25.00 over draft fee. Navient seems to continuously keep unorganized records and has a severely scattered work flow and lack of communication with their customers. None of the departments talk to each other and they make it very difficult for me and my cosigners to set up an affordable payment system. This company needs regulations as I constantly question their operation. I ca n't have trust issues with a company whom I give over half my income to. Had I known that my reoccurring payment would go through automatically when the account information was updated, I would not have taken her up on the offer of charging me instantaneously on the phone. I feel as though I was tricked into giving them more money than I had to. I have attached a few screen shots of what my transaction history looks like in my account. Only XXXX payment was applied on XXXX XXXX, not XXXX like they are claiming. 
",,"Navient Solutions, Inc.",CA,900XX,,Consent provided,Web,04/17/2015,Closed with explanation,Yes,No,1331991
04/09/2015,Unexpected/Other fees,,"Dear CFPB, I contacted Bank of America to close out my health savings account on XXXX XXXX, 2015. Bank of America advised me that the account would be closed and I would receive a refund check for the funds that were in the account. I received a check from BOA in the amount of {$570.00}. On XXXX XXXX, 2015 I deposited the check BOA owed me to my XXXX bank account. On XXXX XXXX, 2015 to my horrific surprise BOA reversed the check causing my bank account to be overdrafed and causing financial harm. I contacted BOA directly to find out why they took my money on XXXX XXXX and the response I received was, "" We are sorry the check was reversed, we have been advised by other consumers of the same issue and we are working to escalate to find out why this happened and will contact you the latest Friday XXXX XXXX. '' Not only was BOA not helpful, they did n't not return my funds. Due to their incompetence, I now have to pay a reverse checking fee and overdraft fee. This is unacceptable and unethical what BOA has done to me. I am a hard working single woman who should not be penalized due to BOA terrible mistake. The worst thing about the entire situation is that they could not tell me why they took my money they owe me. I hereby demand that the {$570.00} be returned to my account immediately along with the {$22.00} for reverse check and overdraft fee I now have to pay. BOA has not only violated UDAAP laws, they have also caused stress and financial issues on my part for what they did. 
",Company chooses not to provide a public response,Bank of America,NJ,080XX,,Consent provided,Web,04/10/2015,Closed with monetary relief,Yes,No,1322613
04/02/2015,"Account opening, closing, or management",,"I was denied a checking account at capitol one 360 because of a chexsystem report and i have my report dated XXXX/XXXX/2015 which they also have and they said there is negative info on the report and on my report there is no information. capitol one 360 will not tell me what the negative info is about me. I am worried they are committing fraud.they also informed me i am not the only one this is happening to. If needed I will hire a lawyer and sue them for fraud. 
",,Capital One,IL,608XX,,Consent provided,Web,04/02/2015,Closed with explanation,Yes,No,1312323
04/02/2015,Can't contact lender,Can't contact lender,"I 'm assuming this is for a payday loan based on internet searches of the number. They continually call me at work though I 've not taken a loan. They say I 'm going to be served at work or home. Sometimes they call from an XXXX number or XXXX. Other times it 's a private or incoming number. 
",,Solidus Group LLC.,WI,532XX,,Consent provided,Web,04/06/2015,Closed with explanation,Yes,No,1313316
04/29/2015,APR or interest rate,,"I purchased a set of wedding rings through XXXX XXXX XXXX and financed them with T.D. Bank and XXXX XXXX incorporated. I 'm currently on 0 % interest for the credit card but was informed after the promotional period expired the interest rate would hike up to 28 %. I 'm active duty XXXX and told them that and that I 'm covered under the XXXX. They told me this did n't apply to me unless I deployed. This is not the case and applies to anyone on XXXX orders. 
",,TD Bank US Holding Company,OH,454XX,Servicemember,Consent provided,Web,04/29/2015,Closed with explanation,Yes,No,1352922
04/09/2015,Money was not available when promised,,"I transferred money on XXXX/XXXX/15 by Western Union 's "" Money in Minutes '' method, which was not made available to the receiver for almost XXXX weeks. I only got a message from Western Union XXXX WU XXXX today XXXX XXXX/XXXX/15 XXXX that the funds are ready for pickup after several complaints to them ( but it is too late as the matter has been overtaken by events ). 
I have been using WU for over 15 years and have a Gold card ( # XXXX ). I sent {$300.00} on XXXX/XXXX/15 to a high school friend XXXX XXXX, XXXX for an urgent medical matter ; the transfer was done via telephone with my debit card, which I have used many times in the past. I provided my information, set up a test question and my information was verified. At the end of the call, I was given the Money Control Transfer Number ( MTCN ) XXXX and informed that the funds were immediately available for pick up. 
Surprisingly, my friend contacted me on XXXX/XXXX/15, informing me that he was not given the funds at a participating WU bank at the pick up location. I spent about XXXX minutes on the phone on XXXX/XXXX/15 trying to understand why the service I paid for was not rendered and got no sensible answers or any resolution. I spoke with a few reps at WU including, XXXX ( rep id XXXX ), XXXX ( a supervisor ) and XXXX ( in the XXXX Support department ), but my efforts proved futile and circular. 
Amidst the rudeness, impatience and XXXX customer service, what I could decipher from the incoherent explanations from the WU staff was that for some reason further verification was needed and that my phone number was inconsistent/incorrect/unverifiable. This is troubling on many levels : XXXX, verification was already done on XXXX/XXXX/15 when I was provided the MTCN ; XXXX, if it was n't, why was it not done and why wait 5 days until I call to report non performance on their part before they bring that up ; XXXX, I provided my phone number on XXXX/XXXX/15 and they already have it on their system as it is my main number and what I used to make the call on the said date ; XXXX, WU has already debited my account and are in possession of the funds, while refusing to honor the agreement by remitting it to the receiver ; lastly, there was no urgency exhibited by WU 's staff to right a wrong/error as chronicled here. As I was on the phone to WU, the line was "" conveniently '' cutoff a XXXX of times and I was passed from XXXX rep to another until I was jaded and moved on to do other important things like my job. 
Even after I reported this matter to WU 's corporate office on XXXX/XXXX/15, there still was no urgency to perform the service that I paid for and for which they were already delinquent. I had to gather another {$300.00} to send through a different money transmitter, while WU dilly-dallied. In the mean time because WU held on to my money illicitly, I incurred bank charges for bounced checks and the supposed receiver incurred late fees ( and immense troubles ) on his end because he was unable to pay the medical bills in a timely manner due to WU 's non performance. At the time of writing, WU is still to return my money ; they claim that they delayed my transaction for compliance reasons. If this is not an egregious breach of trust and contract, I do n't know what is. 
The purpose of sending the funds via WU has been defeated and instead they have given me more pain than gain in the transaction. Please assist in helping me obtain some accountability. 
",,The Western Union Company,NJ,088XX,,Consent provided,Web,04/09/2015,Closed with explanation,Yes,Yes,1323329
04/29/2015,Payment to acct not credited,Payment to acct not credited,"I had a loan with Cash Net three years ago. My motherinlaw paid the loan in full to Cash net. For three weeks after, Cash Net continued to debit my account for the amount of the payments. Cash Net was contacted, sent copies of the cancelled check, but still refused to quit taking money from my account. I wrote them a letter and included a copy of the cancelled check and they then sent my account to XXXX collection agency. They called me today and their agent, XXXX XXXX, told me if I did not pay them XXXX right then, I would be arrested and could be detained for up to 60 days unless a judge allowed bail. They then said that they would settle for XXXX at XXXX. I tried to explain to them that the debt had been paid, proof had been sent to them, and the agent then said he was a mediator and not a collection agency, yet he refused to listen to what I had to say. I then paid the {$700.00} due to a fear of being arrested. I have proof of payment so now Cash Net has been paid XXXX times for the same debt. I then asked to speak to the supervisor, XXXX XXXX, who said she would look in to what the agent said but that if they debt had been paid, they would not have been contacting me. What are my options now for getting my money back and for being threatened with arrest and detainment since I have since found it was illegal for them to do and illegal for Cash Net to continue to harass me after I provided proof the debt was paid in full? Cash Net needs to be out of business!! 
",Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Enova International, Inc.",KS,660XX,,Consent provided,Web,04/29/2015,Closed with explanation,Yes,Yes,1353082
05/06/2015,Problems caused by my funds being low,,"I subscribe to overdraft protection from PNC Bank, but even with this they charge a {$5.00} fee if it is used. On XXXX/XXXX/15, in the evening, I noticed that a few purchases I made ( but did n't post yet ) placed me at - {$46.00}. Knowing of the {$5.00} fee that is assessed, I transferred all {$300.00} from my savings to my checking Sunday night. Apparently, later that evening or Monday morning the overdraft protection transferred {$46.00} to checking. But, since that money was already transferred - by me - my savings reflected a - {$46.00} balance. 
I did n't realize this until today when I also noticed, for the last XXXX days ( and it would have continued had I not transferred money ) that PNC was charding me {$7.00} a day ( my balance in savings as of this morning was - {$60.00}. 
How can they charge me for a situation they created? Why would their system allow a transfer from an account that had {$0.00}. I feel it is unfair and a complete money grab. 
",,PNC Bank N.A.,PA,160XX,,Consent provided,Web,05/06/2015,Closed with monetary relief,Yes,No,1363090
05/19/2015,APR or interest rate,,"I had opened a Chase Freedom credit card with Chase. I also had XXXX other accounts related to this company. On XXXX 2015 statement it clearly identifies that the 0 % promotion was still active and that it was going to be expiring in XX/XX/2015. That is all that it showed ; it did not give a specific date indicating the promotional expiration. 

I paid the card off in full by the due date and thought everything was ok ; I paid off the 0 % balance. 

Then in XX/XX/XXXX statement they charged me XXXX in interest charges. I tried contacting the company and XXXX "" supervisors '' ( XXXX and XXXX ) refused to refund the interest charges. They then claimed that the promotion expired on XXXX/XXXX/2015 and that their interest charge was valid. If that were true ; why did the statement generated on XXXX/XXXX/2015 still indicate that there was still a promotion and still showed XX/XX/2015 as the expiration date?!?!?! 

Not only is all of this misleading I think this company is trying to take as much money from people as they can. This is the XXXX company that has ever done something like this and I do n't think I am the only person who they are doing this to. I pay off my credit cards every month and I also pay off my 0 % balances. 

As of today XXXX/XXXX/2015 I have closed ALL ACCOUNTS with Chase. Even a recently opened Amazon account. They lost a customer over XXXX interest charges ; that just tells me this company is working under false practices and does not care about their customers. 

I would like for this company to be investigated as much as possible. It is not right what they are doing. On a final note ; I know that cancelling the cards will affect my credit score .... but I am willing to take that hit and separate myself from a corrupt corporation. 

I will be uploading my XXXX and XXXX statements. Keep in mind when reading them that they indicated to me over the phone that the expiration was XXXX/XXXX/2015 ; but, nowhere does it state this on the statements. And in XXXX statement the notes in regards to the promotional balance are gone ; which if the expiration was truly XXXX/XXXX/2015 then it should have been removed from the statement generated XXXX/XXXX/2015 as well. 
",,JPMorgan Chase & Co.,NM,871XX,,Consent provided,Web,05/19/2015,Closed with monetary relief,Yes,Yes,1382841
04/16/2015,Payment to acct not credited,Payment to acct not credited,"The lender did not credit my account principal with any portion of the payments that were made. I found this to be very strange. I continued to make payments and my principal balance went unchanged each time. The principle balance was never credited, not XXXX cent. I began to do research and learned that XXXX offers payday loans that are n't enforceable in the state of Connecticut. This type of loan is illegal in the state of CT and Alliant Capital Management is attempting to collect on a prohibited high interest installment loan. 
",,Alliant Capital Management LLC,CT,064XX,,Consent provided,Web,04/21/2015,Closed with explanation,Yes,No,1333932
04/16/2015,Deposits and withdrawals,,"I deposit {$100.00} on XXXX XXXX, 2015 at XXXX and I was never given the credit on my savings account I went to the branch and they did n't believe me at all, they have many surveillance cameras they can see when I gave the money to the clerk, I want my {$100.00} plus {$20.00} for the incovenience or I want free checks. 
",Company chooses not to provide a public response,U.S. Bancorp,CA,950XX,,Consent provided,Web,04/16/2015,Closed with non-monetary relief,Yes,No,1334036
05/20/2015,Other service issues,,"PayPal enrolled me in PayPal Credit without me knowing that they had enrolled me and when I made a purchase it went on the PayPal Credit account instead of my regular PayPal account which is hooked up with my XXXX I later tried to purchase antivirus for my computer and it would not go thru then I find out I owed PayPal Credit {$75.00} I have a XXXX of problems with this. 
1 ) I never wanted PayPal Credit because I have a PayPal Account2 ) They should have billed PayPal like I intended them to3 ) I never received a bill or phone call or I would have paid it as soon as I knew about it! 

When I called them and told them I wanted to settle up on the bill when I found out this is why my antivirus purchase did not go thru I told PayPal to charge my Credit Card yet the charged my bank account and caused a couple of my bank payments to bounce! 
",,"PayPal Holdings, Inc.",GA,300XX,,Consent provided,Web,05/20/2015,Closed with monetary relief,Yes,No,1384357
05/13/2015,Can't contact lender,Can't contact lender,"i keep getting phone calls everyday from speedy cash they have already called XXXX times so far this month it started in XXXX of 2015 XXXX calls were made too us XX/XX/XXXX XXXX calls were maded too us XX/XX/XXXX XXXX calls were made too us the number is XXXX their saying their speedy cash 
",,Speedy Cash Holdings,KS,675XX,Older American,Consent provided,Web,05/19/2015,Closed with explanation,Yes,No,1373971
04/17/2015,Can't repay my loan,Can't decrease my monthly payments,"I have been in contact with my private student loan lender Discover Student Loans several times since XXXX 2014 to try and make my monthly payment more feasible so I can afford to live. I have been told to either use forbearance or default my loans and that they can not help me. They want me to pay nearly {$700.00} a month, while trying to live and pay other bills. I also have federal loans that are in non repayment right now until I can get something resolved with Discover and be able to afford to repay my loans. I am willing to work overtime to pay Discover a settled amount every month so everyone is happy they are getting money. But, Discover will not work with me to make it to where I can live and afford my bills. 
",,Discover,FL,339XX,,Consent provided,Web,04/17/2015,Closed with explanation,Yes,Yes,1334755
05/13/2015,Payment to acct not credited,Payment to acct not credited,"they are rip-me off for this loan. 
my loan amount was {$1000.00}, they charged me {$1500.00}, even I extend few times. 
I made few times paid {$300.00} and they credited for only $ XXXXthis things happened XXXX. 
",,"Mobiloans, LLC",CA,941XX,Older American,Consent provided,Web,05/13/2015,Untimely response,No,No,1374665
